,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
340,foodgrains-oil-masala,Foodgrains Oil Masala,,masalas-spices,Masalas Spices,,cooking-pastes,Cooking Pastes,
341,gourmet-world-food,Gourmet World Food,,drinks-beverages,Drinks Beverages,,non-alcoholic-beer-wine,Non Alcoholic Beer Wine,
342,eggs-meat-fish,Eggs Meat Fish,,poultry,Poultry,,duck-goose,Duck Goose,
343,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,other-plastic-ware,Other Plastic Ware,
344,cleaning-household,Cleaning Household,,mops-brushes-scrubs,Mops Brushes Scrubs,,utensil-scrub-pad-glove,Utensil Scrub Pad Glove,
345,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,leafy-vegetables,Leafy Vegetables,
346,snacks-branded-foods,Snacks Branded Foods,,spreads-sauces-ketchup,Spreads Sauces Ketchup,,honey,Honey,
347,kitchen-garden-pets,Kitchen Garden Pets,,appliances-electricals,Appliances Electricals,,,,
348,snacks-branded-foods,Snacks Branded Foods,,spreads-sauces-ketchup,Spreads Sauces Ketchup,,tomato-ketchup-sauces,Tomato Ketchup Sauces,
349,cleaning-household,Cleaning Household,,mops-brushes-scrubs,Mops Brushes Scrubs,,dust-cloth-wipes,Dust Cloth Wipes,
350,bakery-cakes-dairy,Bakery Cakes Dairy,,cakes-pastries,Cakes Pastries,,tea-cakes-slice-cakes,Tea Cakes Slice Cakes,
351,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,,,
352,beverages,Beverages,,fruit-drinks-juices,Fruit Drinks Juices,,other-juices,Other Juices,
353,snacks-branded-foods,Snacks Branded Foods,,breakfast-cereals,Breakfast Cereals,,granola-cereal-bars,Granola Cereal Bars,
354,gourmet-world-food,Gourmet World Food,,sauces-spreads-dips,Sauces Spreads Dips,,thai-asian-sauces,Thai Asian Sauces,
355,snacks-branded-foods,Snacks Branded Foods,,biscuits-cookies,Biscuits Cookies,,marie-health-digestive,Marie Health Digestive,
356,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,hand-foot-care,Hand Foot Care,
357,foodgrains-oil-masala,Foodgrains Oil Masala,,masalas-spices,Masalas Spices,,,,
358,gourmet-world-food,Gourmet World Food,,sauces-spreads-dips,Sauces Spreads Dips,,honey-maple-syrup,Honey Maple Syrup,
359,kitchen-garden-pets,Kitchen Garden Pets,,cookware-non-stick,Cookware Non Stick,,cookware-sets,Cookware Sets,
360,snacks-branded-foods,Snacks Branded Foods,,snacks-namkeen,Snacks Namkeen,,namkeen-savoury-snacks,Namkeen Savoury Snacks,
361,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,hakka-noodles,Hakka Noodles,
362,kitchen-garden-pets,Kitchen Garden Pets,,cookware-non-stick,Cookware Non Stick,,,,
363,bakery-cakes-dairy,Bakery Cakes Dairy,,cakes-pastries,Cakes Pastries,,muffins-cup-cakes,Muffins Cup Cakes,
364,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,flours-pre-mixes,Flours Pre Mixes,
365,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-creams-lotions,Baby Creams Lotions,
366,kitchen-garden-pets,Kitchen Garden Pets,,storage-accessories,Storage Accessories,,cloth-dryer-iron-table,Cloth Dryer Iron Table,
367,kitchen-garden-pets,Kitchen Garden Pets,,bakeware,Bakeware,,baking-tools-brushes,Baking Tools Brushes,
368,beverages,Beverages,,tea,Tea,,exotic-flavoured-tea,Exotic Flavoured Tea,
369,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,curry-paste-coconut-milk,Curry Paste Coconut Milk,
370,gourmet-world-food,Gourmet World Food,,sauces-spreads-dips,Sauces Spreads Dips,,mustard-cheese-sauces,Mustard Cheese Sauces,
371,gourmet-world-food,Gourmet World Food,,tinned-processed-food,Tinned Processed Food,,beans-pulses,Beans Pulses,
372,beauty-hygiene,Beauty Hygiene,,deodorant-fragrance,Deodorant Fragrance,,womens-deos,Womens Deos,
374,snacks-branded-foods,Snacks Branded Foods,,indian-mithai,Indian Mithai,,,,
375,eggs-meat-fish,Eggs Meat Fish,,eggs,Eggs,,country-eggs,Country Eggs,
377,cleaning-household,Cleaning Household,,fresheners-repellents,Fresheners Repellents,,mosquito-repellent,Mosquito Repellent,
378,cleaning-household,Cleaning Household,,detergents-dishwash,Detergents Dishwash,,dishwash-bars-powders,Dishwash Bars Powders,
379,bakery-cakes-dairy,Bakery Cakes Dairy,,gourmet-breads,Gourmet Breads,,gourmet-bread,Gourmet Bread,
380,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,anti-ageing-cream-serum,Anti Ageing Cream Serum,
381,beauty-hygiene,Beauty Hygiene,,oral-care,Oral Care,,mouthwash,Mouthwash,
382,eggs-meat-fish,Eggs Meat Fish,,sausages-bacon-salami,Sausages Bacon Salami,,pork-ham,Pork Ham,
383,cleaning-household,Cleaning Household,,pooja-needs,Pooja Needs,,lamp-lamp-oil,Lamp Lamp Oil,
384,kitchen-garden-pets,Kitchen Garden Pets,,pet-food-accessories,Pet Food Accessories,,pet-collars-leashes,Pet Collars Leashes,
385,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,pasta-macaroni,Pasta Macaroni,
386,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,laundry-storage-baskets,Laundry Storage Baskets,
387,kitchen-garden-pets,Kitchen Garden Pets,,steel-utensils,Steel Utensils,,,,
388,baby-care,Baby Care,,baby-diapers-wipes,Baby Diapers Wipes,,nappy-pads,Nappy Pads,
389,cleaning-household,Cleaning Household,,stationery,Stationery,,,,
390,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,,,
391,cleaning-household,Cleaning Household,,stationery,Stationery,,exam-pads-pencil-box,Exam Pads Pencil Box,
392,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,root-vegetables,Root Vegetables,
393,snacks-branded-foods,Snacks Branded Foods,,veg-snacks,Veg Snacks,,namkeen,Namkeen,
394,bakery-cakes-dairy,Bakery Cakes Dairy,,ice-creams-desserts,Ice Creams Desserts,,,,
395,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,mangoes,Mangoes,
396,kitchen-garden-pets,Kitchen Garden Pets,,flask-casserole,Flask Casserole,,casserole,Casserole,
397,cleaning-household,Cleaning Household,,pooja-needs,Pooja Needs,,candles-match-box,Candles Match Box,
398,kitchen-garden-pets,Kitchen Garden Pets,,storage-accessories,Storage Accessories,,lunch-boxes,Lunch Boxes,
399,fruits-vegetables,Fruits Vegetables,,herbs-seasonings,Herbs Seasonings,,lemon-ginger-garlic,Lemon Ginger Garlic,
400,snacks-branded-foods,Snacks Branded Foods,,pickles-chutney,Pickles Chutney,,,,
401,eggs-meat-fish,Eggs Meat Fish,,poultry,Poultry,,fresh-chicken,Fresh Chicken,
402,snacks-branded-foods,Snacks Branded Foods,,chocolates-candies,Chocolates Candies,,toffee-candy-lollypop,Toffee Candy Lollypop,
403,fruits-vegetables,Fruits Vegetables,,exotic-fruits-veggies,Exotic Fruits Veggies,,exotic-vegetables,Exotic Vegetables,
404,foodgrains-oil-masala,Foodgrains Oil Masala,,dals-pulses,Dals Pulses,,,,
405,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,instant-pasta,Instant Pasta,
406,snacks-branded-foods,Snacks Branded Foods,,chocolates-candies,Chocolates Candies,,chocolates,Chocolates,
407,beverages,Beverages,,energy-soft-drinks,Energy Soft Drinks,,sports-energy-drinks,Sports Energy Drinks,
408,cleaning-household,Cleaning Household,,car-shoe-care,Car Shoe Care,,shoe-polish,Shoe Polish,
409,cleaning-household,Cleaning Household,,pooja-needs,Pooja Needs,,agarbatti-incense-sticks,Agarbatti Incense Sticks,
410,foodgrains-oil-masala,Foodgrains Oil Masala,,atta-flours-sooji,Atta Flours Sooji,,sooji-maida-besan,Sooji Maida Besan,
411,cleaning-household,Cleaning Household,,pooja-needs,Pooja Needs,,camphor-wicks,Camphor Wicks,
412,beauty-hygiene,Beauty Hygiene,,feminine-hygiene,Feminine Hygiene,,hair-removal,Hair Removal,
413,gourmet-world-food,Gourmet World Food,,tinned-processed-food,Tinned Processed Food,,fruits-pulps,Fruits Pulps,
414,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,gingelly-groundnut-oils,Gingelly Groundnut Oils,
415,foodgrains-oil-masala,Foodgrains Oil Masala,,salt-sugar-jaggery,Salt Sugar Jaggery,,salts,Salts,
416,snacks-branded-foods,Snacks Branded Foods,,indian-mithai,Indian Mithai,,chikki-gajjak,Chikki Gajjak,
417,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,soups,Soups,
418,eggs-meat-fish,Eggs Meat Fish,,mutton-lamb,Mutton Lamb,,frozen-mutton,Frozen Mutton,
419,beauty-hygiene,Beauty Hygiene,,deodorant-fragrance,Deodorant Fragrance,,talcum-powders,Talcum Powders,
420,kitchen-garden-pets,Kitchen Garden Pets,,bakeware,Bakeware,,,,
421,snacks-branded-foods,Snacks Branded Foods,,spreads-sauces-ketchup,Spreads Sauces Ketchup,,choco-nut-spread,Choco Nut Spread,
422,eggs-meat-fish,Eggs Meat Fish,,sausages-bacon-salami,Sausages Bacon Salami,,lamb,Lamb,
423,gourmet-world-food,Gourmet World Food,,tinned-processed-food,Tinned Processed Food,,fish-tuna,Fish Tuna,
424,kitchen-garden-pets,Kitchen Garden Pets,,steel-utensils,Steel Utensils,,bowls-vessels,Bowls Vessels,
425,snacks-branded-foods,Snacks Branded Foods,,chocolates-candies,Chocolates Candies,,gift-boxes,Gift Boxes,
426,bakery-cakes-dairy,Bakery Cakes Dairy,,cookies-rusk-khari,Cookies Rusk Khari,,khari-cream-rolls,Khari Cream Rolls,
427,beauty-hygiene,Beauty Hygiene,,bath-face-hand-wash,Bath Face Hand Wash,,shower-gel-body-wash,Shower Gel Body Wash,
428,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,organic-dals-pulses,Organic Dals Pulses,
429,cleaning-household,Cleaning Household,,stationery,Stationery,,scissor-glue-tape,Scissor Glue Tape,
430,beverages,Beverages,,coffee,Coffee,,,,
431,gourmet-world-food,Gourmet World Food,,pasta-soup-noodles,Pasta Soup Noodles,,,,
432,kitchen-garden-pets,Kitchen Garden Pets,,storage-accessories,Storage Accessories,,wall-hooks-hangers,Wall Hooks Hangers,
433,beauty-hygiene,Beauty Hygiene,,mens-grooming,Mens Grooming,,,,
434,beauty-hygiene,Beauty Hygiene,,baby-care-care,Baby Care Care,,diapers-wipes,Diapers Wipes,
435,eggs-meat-fish,Eggs Meat Fish,,marinades,Marinades,,marinated-meat,Marinated Meat,
436,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,ghee-vanaspati,Ghee Vanaspati,
437,fruits-vegetables,Fruits Vegetables,,organic-fruits-vegetables,Organic Fruits Vegetables,,,,
438,beauty-hygiene,Beauty Hygiene,,mens-grooming,Mens Grooming,,after-shave,After Shave,
439,cleaning-household,Cleaning Household,,detergents-dishwash,Detergents Dishwash,,detergent-bars,Detergent Bars,
440,kitchen-garden-pets,Kitchen Garden Pets,,crockery-cutlery,Crockery Cutlery,,dinner-sets,Dinner Sets,
441,snacks-branded-foods,Snacks Branded Foods,,pickles-chutney,Pickles Chutney,,chutney-powder,Chutney Powder,
442,baby-care,Baby Care,,baby-accessories,Baby Accessories,,baby-laundry,Baby Laundry,
443,beverages,Beverages,,tea,Tea,,green-tea,Green Tea,
444,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,sunscreen-creams-lotion,Sunscreen Creams Lotion,
445,beverages,Beverages,,water,Water,,,,
446,gourmet-world-food,Gourmet World Food,,drinks-beverages,Drinks Beverages,,gourmet-tea-tea-bags,Gourmet Tea Tea Bags,
447,eggs-meat-fish,Eggs Meat Fish,,poultry,Poultry,,,,
448,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,bleach-face-pack,Bleach Face Pack,
449,gourmet-world-food,Gourmet World Food,,drinks-beverages,Drinks Beverages,,,,
450,cleaning-household,Cleaning Household,,disposables-garbage-bag,Disposables Garbage Bag,,kitchen-rolls,Kitchen Rolls,
451,bakery-cakes-dairy,Bakery Cakes Dairy,,cookies-rusk-khari,Cookies Rusk Khari,,,,
452,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,other-edible-oils,Other Edible Oils,
453,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,,,
454,cleaning-household,Cleaning Household,,car-shoe-care,Car Shoe Care,,shoe-shiners-brushes,Shoe Shiners Brushes,
455,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,paneer-tofu-cream,Paneer Tofu Cream,
456,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,pure-pomace-olive-oil,Pure Pomace Olive Oil,
457,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,olive-canola-oils,Olive Canola Oils,
458,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,supplements-proteins,Supplements Proteins,
459,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,,,
460,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,gourmet-ice-cream,Gourmet Ice Cream,
461,gourmet-world-food,Gourmet World Food,,snacks-dry-fruits-nuts,Snacks Dry Fruits Nuts,,dry-fruits-berries,Dry Fruits Berries,
462,kitchen-garden-pets,Kitchen Garden Pets,,crockery-cutlery,Crockery Cutlery,,glassware,Glassware,
463,foodgrains-oil-masala,Foodgrains Oil Masala,,salt-sugar-jaggery,Salt Sugar Jaggery,,sugar-jaggery,Sugar Jaggery,
464,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,,,
465,baby-care,Baby Care,,baby-food-formula,Baby Food Formula,,baby-food,Baby Food,
466,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,,,
467,kitchen-garden-pets,Kitchen Garden Pets,,bakeware,Bakeware,,bakeware-accessories,Bakeware Accessories,
468,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,prawns-shrimps,Prawns Shrimps,
469,bakery-cakes-dairy,Bakery Cakes Dairy,,breads-buns,Breads Buns,,,,
470,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,face,Face,
471,eggs-meat-fish,Eggs Meat Fish,,poultry,Poultry,,frozen-chicken,Frozen Chicken,
472,cleaning-household,Cleaning Household,,car-shoe-care,Car Shoe Care,,,,
473,foodgrains-oil-masala,Foodgrains Oil Masala,,rice-rice-products,Rice Rice Products,,raw-rice,Raw Rice,
474,cleaning-household,Cleaning Household,,car-shoe-care,Car Shoe Care,,car-freshener,Car Freshener,
475,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,makeup-accessories,Makeup Accessories,
476,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,quinoa-grains,Quinoa Grains,
477,baby-care,Baby Care,,baby-food-formula,Baby Food Formula,,infant-formula,Infant Formula,
478,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,,,
480,kitchen-garden-pets,Kitchen Garden Pets,,pet-food-accessories,Pet Food Accessories,,pet-toys,Pet Toys,
481,snacks-branded-foods,Snacks Branded Foods,,pickles-chutney,Pickles Chutney,,other-veg-pickle,Other Veg Pickle,
482,cleaning-household,Cleaning Household,,party-festive-needs,Party Festive Needs,,rakhi,Rakhi,
483,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,flavoured-other-oils,Flavoured Other Oils,
484,fruits-vegetables,Fruits Vegetables,,cuts-sprouts,Cuts Sprouts,,cut-peeled-veggies,Cut Peeled Veggies,
485,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,sexual-wellness,Sexual Wellness,
486,snacks-branded-foods,Snacks Branded Foods,,spreads-sauces-ketchup,Spreads Sauces Ketchup,,vinegar,Vinegar,
487,cleaning-household,Cleaning Household,,stationery,Stationery,,pen-pencils,Pen Pencils,
488,gourmet-world-food,Gourmet World Food,,tinned-processed-food,Tinned Processed Food,,tomatoes-vegetables,Tomatoes Vegetables,
489,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,,,
490,snacks-branded-foods,Snacks Branded Foods,,breakfast-cereals,Breakfast Cereals,,muesli,Muesli,
491,gourmet-world-food,Gourmet World Food,,cereals-breakfast,Cereals Breakfast,,cereal-granola-bars,Cereal Granola Bars,
492,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,cream-cheese-spreads,Cream Cheese Spreads,
493,snacks-branded-foods,Snacks Branded Foods,,chocolates-candies,Chocolates Candies,,,,
494,kitchen-garden-pets,Kitchen Garden Pets,,bakeware,Bakeware,,bakeware-moulds-cutters,Bakeware Moulds Cutters,
495,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,dessert-mixes,Dessert Mixes,
496,cleaning-household,Cleaning Household,,disposables-garbage-bag,Disposables Garbage Bag,,garbage-bags,Garbage Bags,
497,baby-care,Baby Care,,baby-accessories,Baby Accessories,,baby-health-care,Baby Health Care,
498,bakery-cakes-dairy,Bakery Cakes Dairy,,bakery-snacks,Bakery Snacks,,cheese-garlic-bread,Cheese Garlic Bread,
499,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,,,
500,cleaning-household,Cleaning Household,,party-festive-needs,Party Festive Needs,,holi-colours-pichkari,Holi Colours Pichkari,
501,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,,,
502,beverages,Beverages,,energy-soft-drinks,Energy Soft Drinks,,,,
503,beverages,Beverages,,water,Water,,flavoured-water,Flavoured Water,
504,snacks-branded-foods,Snacks Branded Foods,,breakfast-cereals,Breakfast Cereals,,kids-cereal,Kids Cereal,
505,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-powder,Baby Powder,
506,kitchen-garden-pets,Kitchen Garden Pets,,crockery-cutlery,Crockery Cutlery,,cutlery-spoon-fork,Cutlery Spoon Fork,
507,foodgrains-oil-masala,Foodgrains Oil Masala,,dry-fruits,Dry Fruits,,mukhwas,Mukhwas,
508,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,home-baking,Home Baking,
509,beauty-hygiene,Beauty Hygiene,,bath-face-hand-wash,Bath Face Hand Wash,,bath-accessories,Bath Accessories,
510,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,kiwi-melon-citrus-fruit,Kiwi Melon Citrus Fruit,
511,beauty-hygiene,Beauty Hygiene,,deodorant-fragrance,Deodorant Fragrance,,mens-deos,Mens Deos,
512,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,facial-tissues-wipes,Facial Tissues Wipes,
513,snacks-branded-foods,Snacks Branded Foods,,frozen-veggies-snacks,Frozen Veggies Snacks,,frozen-non-veg-snacks,Frozen Non Veg Snacks,
514,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,cheese,Cheese,
515,cleaning-household,Cleaning Household,,detergents-dishwash,Detergents Dishwash,,fabric-pre-post-wash,Fabric Pre Post Wash,
516,foodgrains-oil-masala,Foodgrains Oil Masala,,masalas-spices,Masalas Spices,,herbs-seasoning,Herbs Seasoning,
517,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,diabetic-drinks,Diabetic Drinks,
518,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,butter-cream,Butter Cream,
